url,yt_hash,transcript
https://www.juznevesti.com/Kultura/Price-na-dijalektu-mnoge-ljude-dovele-su-u-Zaplanje.sr.html,PFSd3XZTvgA,"Zbirkom priča Blag reč književnica i novinarka Negoslava Stanojević želela je da još jednom podseti na bogatstvo i vrednost specifičnog dijalekta kojim pripoveda o životu malobrojnih preostalih ljudi koji čuvaju zaplanjska sela. O tome kako su njene priče ljude podstakle da dođu u Zaplanje, autorka je govorila u emisiji 15 minuta.
    



Piše priče koje ljude dovode u Zaplanje""; Foto: JVObičaje, govor, navike i mudrosti ljudi u knjizi priča Baba Grozda, kroz čiji lik Stanojevićeva želi da doprinese očuvanju ovog specifičnog govora. Kako kaže, došlo je vreme da na sve te reči i akcente budemo ponosni, nakon što smo ih godinama stidljivo izgovarali. Priče na dijalektu piše godinama i uz pomoć rečnika čitaju ih širom bivše Jugoslavije.
    U početku su ljudi tražili rečnik. Ja na kraju i prve i druge knjige imam rečnik. Sad ga razumeju, čitaju, a ja sam i snimala da bi ušli u štos i čuli akcenat – kaže Stanojevićeva.
    Pričama govori o tome kako žive ljudi u zapuštenim i pustim selima, kojih je, kaže, nažalost sve manje.
    One baba Grozde koje pričaju baš tako, pošto mlađi već prihataju standardi jezik, te naše bake su nažalost poslednja generacija od kojih možemo da čujemo izvorni govor – priča autorka.
    Šta oni koji su odavno otišli iz sela u svet kažu o knjizi i kako zvuči kada autorka čita ove priče, možete pogledati u emisiji 15 minuta.
"
https://www.juznevesti.com/Drushtvo/143-godine-niske-Gimnazije-Stevan-Sremac-pre-pola-veka-skola-imala-samo-9-vukovaca.sr.html,KfKWnocf7Ec,"Mnogi sadašnji đaci nastaviće stopama nekada slavnih učenika Prve niške gimnazije Stevan Sremac, uvereni su profesori koji ponosno ističu da su, bez obzira na pandemiju, tokom prošle godine osvojili brojna prva mesta na republičkim takmičenjima. Škola obeležava 143 godine rada, a zajednička priprema proslave prijala je i profesorima i učenicima posle višemesečne onlajn nastave.
    



Nekadašnja učenica i profesorka fizike u penziji Vesna Janićijević; Foto: JVNekada su se đaci pomerali na hodniku kada profesor prolazi, obraćali se bojažljivo, ustajali kada uđe u učionicu, priseća se profesorka fizike Vesna Janićijević, koja je prvi put u Gimnaziju došla još 1972. kao učenica, početkom devedesetih se i zaposlila, a od ove godine zvanično je i u penziji i poručuje da je danas odnos mnogo opušteniji i prisniji, što ne znači da nema poštovanja.
    Ja bih izdvojila drugačiji i prisniji odnos profesora i učenika, mnogo veće interesovanje za probleme i pomoć u svemu tome. Nekad je bilo drugačije, profesori su bili nedodirljivi, sada je to mnogo izmenjeno – kaže Vesna Janićijević.
    



Osim na takmičenjima, đaci angažovani na brojnim projektima, kaže direktorka Jelena Milošević; Foto: JVŠkola čuva sve podatke o učenicima koji su školu upisali, a ono što je zanimljivo u godišnjacima je to da je nekada bilo mnogo manje vukovaca, učenici su padali godine, dok je danas statistika mnogo drugačija. Bez obzira na drugačije uslove nastave, učenici su na republičkim takmičenjima osvojili brojne nagrade.
    Pet republičkih mesta, prva tri iz istorije Srbije, treće mesto iz engleskog i geografije. Pokrili smo različite oblasti i doneli pet prvih mesta – ističe direktorka Jelena Milošević.
    



Škola nedostala svima, kaže Una Dimitrijević; Foto: JVUčenica drugog razreda Una Dimitrijević kaže da je priprema proslave pokazala koliko je svima nedostajala interakcija i da su brojni učenici i profesori bili angažovani u obeležavanju još jednog jubileja.
    Oseća se duh, stičemo sliku kako je biti u srednjoj školi. Prošle godine se nismo takoreći upoznali, sada se držimo zajedno – kaže Una Dimitrijević.
    Niš je prvu gimnaziju dobio zahvaljujući knezu Milanu Obrenoviću 1878. godine. Završili su je i Branko Miljković, Stanislav Binički, Bora Stanković, Vladislav Petković Dis i mnogi drugi.
    Šta o školi kažu zaposleni, penzionisani i učenici možete pogledati u emisiji 15 minuta u vrhu teksta.
"
https://www.juznevesti.com/Sport/Piksi-Juzna-pruga-protutnjala-Lisabonom-video.sr.html,FxvpyOsw9eU,"Morate da budete pobednik i da se ne predajete, kaže Dragan Stojković Piksi nekoliko dana nakon što je reprezentacija važnom pobedom u Portugalu obezbedila plasman na Svetsko prvenstvo u Kataru. Mnogi Piksija vide kao glavni faktor uspeha, ali u timu su bila još dvojica Nišlija - Andrija Živković i Nemanja Radonjić, pa zato selektor kaže da je južna pruga protutnjala Lisabonom.
    I ne samo Lisabonom, jer ako se pogleda tabela kvalifikacione grupe za SP, Srbija je ubedljivo prva i što je najvažnije - bez poraza.
    Piksi, ipak, kaže da stvari ne zavise samo od jednog čoveka, kao i da se puno toga promenilo od utakmice baraža za plasman na Evropsko prvenstvo protiv Škotske.
    Promenio se stil igre, promenila se atmosfera, promenilo se mnogo toga u svakom slučaju. Jedna visoka motivacija od strane igrača, Fudbalskog saveza, od strane stručnog štaba. Svi ljudi su bili zaista maksimalno posvećeni izazovima koji slede. Cilj nije nikada lako dostići, ali najvažnije da smo imali ideju i verovali - kaže Piksi.
    Mnogi su ključ pobede videli baš u tom južnjačkom mentalitetu, a niški pisac Dejan Stojiljković pisao je o “drskosti dečaka iz Pasi Poljane”.
    Bilo je pored selektora još južnjaka koji su upisali svoje minute u toj najbitnijoj utakmici sa srpski tim na “La Lužu”.
    Morate da budete pobednik, da se ne predajete. Da verujete u svoje ideje, u svoj rad i način razmišljanja. Da prenesete igračima. Ništa bez južne pruge. Južna pruga je protutnjala kroz Lisabon. Drago mi je da su momci iz Niša i ovog kraja i odlično su se snašli - kaže Piksi.
    Šta misli o tome što je trenutno verovatno jedan od najvoljenijih Nišlija, o predlogu za nagradu “11. januar”, ali i da li će reprezentacija zaigrati na niškom stadionu - ovom ili novom, pogledajte u intervjuu u tekstu.
    Podsetimo, selektor reprezentacije Srbije juče je bio u Surdulici gde je dobio mural na stadionu FK Radnika, a bio je i gost ministra Novice Tončeva.
"
https://www.juznevesti.com/Kultura/Srdjan-Dragojevic-Cesce-smene-vlasti-doprinele-bi-napretku-drustva.sr.html,x2eOJEf8vUA,"Film Nebesa, čija je premijera održana i u Nišu predstavlja alegoriju o hrišćanstvu i prema rečima reditelja Srđana Dragojevića dopada se i ateistima i vernicima iz suprotnih razloga. Šta je o filmu, ali i o stanju u društvu Dragojević govorio između dve premijere, možete pogledati u emisiji 15 minuta.
    Za reditelja filma vera i hrišćanstvo bile su naročito izazovne teme koje je želeo da razotkrije, jer je njegova sestra još pre 25 godina rešila da se zamonaši i stalno je razmišljao o toj njenoj odluci.
    Ja lično verujem da je kod nas hrišćanstvo prihvaćeno na nivou rituala, samo slave slave, Božić i Uskrs ne razmišljajući o suštini – kaže Dragojević.
    Kroz film razmatra i složene društvene odnose, položaj društva kroz nekoliko decenija i poručuje da bi češće promene lidera dobro došle Srbiji.
    Jedno društvo ima uzlazne i silazne putanje, nema neprestanog rasta. Svako se suočava sa problemima. I ovo naše može se reći da u određenom smislu napreduje, kada bi bilo prilike za češću smenu vlasti i demokratskije izbore, to bi doprinelo napretku – ističe Dragojević.
    O tome zašto za svoje filmove bira glumce iz celog regiona i kako se protiv piraterije borio još kada je film Lepa sela, lepo gore završio na tada VHS kasetama i šta je govorio o svom novom filmu, možete pogledati u emisiji 15 minuta.
"
https://www.juznevesti.com/Politika/Zelenovic-svoju-gradjansku-platformu-siri-i-u-Nisu-Gradjani-sve-znaju-samo-cekaju-pravu-ponudu-opozicije.sr.html,SQg4s0P64j8,"Zeleno i levo je politika platforme koju okuplja Nebojša Zelenović, lider Zajedno za Srbiju i bivši gradonačelnik Šapca. Uz Ne davimo Beograd, tu je i aktivista iz Pirota Aleksandar Jovanović Ćuta, a od skoro i Udruženje “Borba 018” iz Niša. Zelenović kaže da je ključ u poverenju, a da građani već znaju kakva je situacija i gde žive, samo čekaju ponudu opozicije.
    Trenutno je, kako kaže Zelenović, 30 organizacija u Otvorenoj građanskoj platformi AKCIJA. Aktivizam i politika su se ukrstili, a lider ZZS kaže da je jasno da su se klasične partije i stranke smučile građanima.
    Vrlo je važno graditi poverenje i kroz zajednički rad izgraditi taj odnos. Stranke su se smučile ljudima i u Srbiji i u svetu. Sa te strane gledano mi smo rekli hajde da pokušamo da promenimo način na koji se odvija politički život, način na koji stranke komuniciraju i rade i da to sve približimo građanima i da u otvorenom procesu dođemo do nekog dogovora. To je nešto po ugledu na komšije u Hrvatskoj i organizaciju koja se zove “Možemo” - rekao je Zelenović.
    Izborni uslovi su loši i nisu se promenili od prošle godine kada je ZZS učestvovao na lokalnim izborima u Šapcu i izgubio od SNS u tesnoj trci, ali su zbog izbornih neregularanosti mnogi procesi još pred sudovima.
    Ipak, kako kaže Zelenović, obilazeći Srbiju vidi da građani znaju šta se dešava u državi.
    Građani sve znaju. Sve znaju. Ne mora više niko od nas, niko iz politike da se pojavi na RTS-u ili ne daj Bože na Pinku, ljudi sve znaju. Nego čekaju ponudu. Da li će se pojaviti neko verodostojan, iskren i neko ko ima plan? I mi smo upravo to uradili. Organizovali smo se, napravili smo plan, imamo vrlo jasan program i nudimo nove ljude koji u sve to treba da uđu. Ima ih svugde, ima ih i u Nišu - kaže Zelenović.
    Njihov politički program okrenut je levici, ali i ekologiji kao i jasnom putu na zapad ka Briselu i Vašingtonu. On sam, kako kaže, spreman je da se uhvati u koštac sa svakim problemom koji muči Srbiju, kao i sa rešavanjem statusa Kosova i Metohije.
    Kakve su mu tu ideje, koliko kolona će potencijalno ponuditi opozicija na izborima, šta misli o predsedničkom kandidatu, pogledajte u emisiji “15 minuta”.
"
https://www.juznevesti.com/Intervju/Doktor-Stanisic-u-15-minuta-Zasto-se-najtezi-pacijenti-salju-u-Krusevac.sr.html,90xierWRv4c,"Da je epidemija u jeku, a zdravstveni sistem maksimalno opterećen kaže lekar sa niške Infektivne klinike Steva Stanišić, koji problem prepoznaje i u tome kako je sistem organizovan i pita zašto se najteži pacijenti iz Niša transportuju u Kruševac. Izlaz iz situacije vidi u vakcinaciji i upozorava da su najteži pacijenti, sa najtežim posledicama korone, upravo oni koji nisu vakcinisani.
    U emisiji 15 minuta Stanišić opisuje redove saniteta u niškom Kliničkom centru i kaže da ih i nema dovoljno da sve pacijente prebace u Kruševac, pa zato mnogi u teškom stanju satima čekaju. Zašto je bolnica tako daleko od najvećeg grada u regionu pitanje je koje postavlja.
    Problem vidi i u velikom nepoverenju građana koje ne jenjava, pa se zbog slabog odziva za vakcinaciju kraj epidemije stalno odlaže.
    Meni je smešno u 21. veku nepoverenje prema nauci. A sve što smo postigli, sve što je čovečanstvo postiglo je zahvaljujući nauci - kaže lekar sa Infektivne klinike.
    U emisiji govori i o tome da je upravo slab odziv doprineo da nisu zaštićeni ni potpuno vakcinisani ljudi, ali tvrdi da su imali uglavnom lakše kliničke slike.
    Svi su prošli uslovno rečeno, da kažem solidno, bez nekih težih sekvela, nisu došli do respiratora, pao je naravno procenat zaštite i Fajzera, a pašće i bilo koje druge vakcine, ako mi dozvolimo da razvlačimo tu imunizaciju stanovništva, tako da virus dobija na vremenu da se stvaraju sojevi, novi sojevi koji su još rezistentniji - zaključuje Stanišić.
    Kaže da ne razume čega se boje oni koji uzimaju sve lekove ili kozmetičke proizvode, sve novo što se pojavi, a vakcinu protiv kovida izbegavaju. Pretpostavlja da je zabuni kod građana i nepoverenju doprinelo i to što je njima prepušteno da biraju između različitih vakcina, a ako se u sve umeša i politika - kao da biraju između Rusije, Kine, Amerike.
    Ja sam sad recimo doktor kardiolog i kažem da imam četiri leka, svi su za srce hoćeš ovaj, hoćeš onaj... ""Pa vi mi kažite."" Ja kažem ne, ne, neću ja ti kažem, odaberi koji ćeš od tih lekova. Mislim, sama ta mogućnost da neko ko apsolutno nema veze s vakcinama bira vakcinu, po meni apsolutno unosi nepoverenje kod običnog čoveka - kaže infektolog.
    Šta je Stanišić rekao o kolegama koje promovišu teorije zavere, a ne nauku, njegovo konkretno iskustvo sa pacijentima koji su u teškom stanju čekali na transport u Kruševac jer su niške kovid bolnice pune pogledajte u intervjuu na vrhu teksta, gde je sa Stanišićem razgovarala novinarka Milica Milojević Kostić.
"
https://www.juznevesti.com/Drushtvo/Na-Kembridzu-kao-u-Hari-Poter-filmu-kaze-Nislija-koji-je-tamo-studirao-uz-stipendiju-Civning.sr.html,1uT1SzzIF-o,"""Kao u Hari Poter filmu"" - ovako Nišlija Petar Pešić opisuje master studije na Univerzitetu u Kembridžu koje je tamo pohađao zahvaljujući stipendiji ""Čivining"" koju dodeljuje Britanska ambasada. Ističe da mu je stipendija značila i na privatnom i profesionalnom planu, a oni koji žele da je dobiju mogu da se prijave do utorka, 2. novembra. 
    Stipendija Britanske ambasade datira još iz 1983. godine, a u Nišu je do sada, kako navodi predstavnik ambasade Tom Rajt, primilo troje ljudi.
    Jedan od njih je i pravnik Petar Pešić koji je proveo godinu dana u Kembridžu na master studijama, a odlučio se za oblast privrednog prava.
    Iskustvo koje je tamo stekao upoređuje sa filmom.
    Kao u Hari Poter filmu, ukratko rečeno, s obzirom da sam bio okružen sa studentima iz čitavog sveta, tu su bili ljudi bukvalno sa svih krajeva planete, dosta njih je bilo preko Čivninga kao stipendisti. Mi smo imali zajedno različite aktivnosti, druženja, čak smo imali različite projekte u okviru Čivning stipendije - priseća se Pešić.
    Dodaje da je imao prilike da ga podučavaju najbolji profesori u svojoj oblasti, te da mu je stipendija mnogo značila na ličnom i profesionalnom polju.
    Nije samo što mi je značila za dobijanje posla, značila mi je puno na ličnom planu, to je bio jedan odlazak od kuće koji je trajao godinu dana. Vi morate da spoznate sebe da vidite šta sve možete i kako možete. Sve je to bio utisak koji ću pamtiti do kraja života - ističe.
    ""Čivning"", kaže, daje slobodu, jer svako može da bira program koji će studirati i da sam izabere put kako će da se razvija.
    Prijave za prestižnu stipendiju o trošku Britanske ambasade otvorene su do 2. novembra, a kakve sve ona donosi pogodnosti možete da pogledate u emisiji ""15 minuta"".
"
https://www.juznevesti.com/Drushtvo/25-godina-niskog-City-radija-Postali-smo-SMART-kako-bismo-sacuvali-normalnost-ovog-grada.sr.html,WiZB2GGt0lk,"Pre 25 godina pokrenuli su radio program, kako kaže glavna urednica City radija Ivana Petrović, ilegalno i bez identiteta u periodu kada se režim Slobodana Miloševića obračunavao sa svim profesionalnim medijima. Dve i po decenije kasnije, Petrovićeva zaključuje da je situacija slična, ali da radio opstaje. Prilagodio se novom vremenu i trendovima pa je kroz SMART klub otvoren prostor za umetnike, novinare, aktiviste i građane.
    Za pokretanje medija pri kraju devedesetih, kada je Milošević već bio “ranjen”, bila je, kako kaže Petrovićeva, potrebna i hrabrost i ludost.
    To su bila opasna vremena kada su ljudi gubili glave, neke naše kolege. Kada je svaka takva aktivnost mogla da te odvede makar na robiju. To je bilo jedno opasno vreme za bavljenje ovim poslom, ali juče sam razmišljala o tome i kažem da mi je ova pamet, a tadašnja mladost, verovatno bismo bili još luđi - rekla je Petrovićeva.
    City radio je preživeo te, ali i godine koje su došle nakon 5. oktobra, datuma kojeg se Petrovićeva sa ponosom seća.
    Iako se, kako kaže, od 2012. osećaju i prisutni su recidivi Miloševićeve vladavine, odustalo se od opcije stavljanja katanca na firmu. Odlučili su se za prilagođavanje i društveno-političkim okolnostima, ali i tehnološkom napretku.
    Postali su City SMART radio.
    Kada kažem prilagođavamo, vrlo sam ponosna što se u tom prilagođavanju nikada nismo prodali, niti smo odstupili od univerzalnih ljudskih vrednosti koje promovišemo. SMART znači “social, media, art” i ne radi se o IT kompaniji nego o nečemu što promoviše društvenu zajednicu, slobodne medije i umetnost. Mi smo napravili ovaj prostor u kojem želimo da imamo tribine i debate, da ohrabrimo građane da progovore - kaže Petrovićeva.
    U šali kažu da je SMART i zbog toga što su se posle četvrt veka propametili.
    Želja nam je da to bude prostor u kojem će se sačuvati normalnost ovog grada. Ona postoji, možda se ućutala, možda je preplašena, ali sam sigurna da ćemo uspeti u ovom sigurnom prostoru… Možeš da dođeš i kažeš šta ti je na duši i da pokrenemo i neku novu akciju, zašto da ne - kaže Petrovićeva.
    City SMART radio je i dalje na 99,9 Mhz vaših radio prijemnika, a kompletan intervju “15 minuta” pogledajte na vrhu teksta.
"
https://www.juznevesti.com/Politika/Sociolog-Djokica-Jovanovic-Upozoravajuc-broj-organizacija-koje-neguju-kulturu-sile.sr.html,DUAA-SyjJGM,"Burna rasprava koju je pokrenuo Nacrt zakona o policiji završena je njegovim povlačenjem, ali teme koje su načete nisu objašnjene javnosti. U Srbiji postoje desetine novih organizacija registrovanih kao nevladine, policijske ili bezbednosne, a sociolog Đokica Jovanović, pozivajući se na političku praksu, kaže da su takve organizacije obično povezane sa centrima moći, a da je upozoravajuće to što ih je toliko koje neguju kulturu sile.
    Jovanović kao sociolog prati socijalne posledice, ali i društvene uzroke i društveni milje koji dovode do aktuelne situacije kojom nije iznenađen.
    Srbije nije izuzetak. Pogledajte samo 20. vek, kraj 19. veka. Bilo je puno paramilitarnih, paravojnih, parapolitičkih formacija - podseća Jovanović.
    Kaže da su aktivno učestvovale u politici, ne u samom procesu, već u kreiranju rezultata. Za stanje na Balkanu, u Evropi i svetu dao je jedno ime - stanje dekadencije.
    Kada pogledata šta je prethodilo velikim društvenim burama, to je jedno unutrašnje, društveno nekonsolidovano stanje i stanje vrednosne zamršenosti. Nama istraživanja pokazuju da ispitanaci nisu konsekventni u svojim odgovorima. Znači, u jednom vidite da se zalarže za jedne vrednosti, u drugom za neke suprotne. Nije on kriv. Stanje u društvu je takvo - primećuje Jovanović.
    Formiranje brojnih organizacija za Jovanovića je upozoravajuće. Kaže da je upozoravajuće da se stvaraju one koje na neki način imaju dodir sa kulturom sile.
    Ta su udruženja naizgled samostalna, ali istorija političke prakse pokazuje da su povezana sa centrima moći. Završavaju poslove koje ti centri moći ne bi baš u javnosti da rade - tumači Jovanović.
    On se zalaže za sukob - ali isključivo argumentima, a u emisiji 15 minuta govori o tome gde vidi izlaz iz ove situacije.
"
https://www.juznevesti.com/Drushtvo/Od-pirotskog-cilima-do-haljina-i-kosulja-modna-kreatorka-svojim-modelima-cuva-tradiciju.sr.html,z0hyPf8lOxk,"Do pre nekoliko godina tradicionalnu pirotsku šaru mogli smo uglavnom da vidimo na nekom od ćilima, ali je modna kreatorka Silvana Tošić rešila da ovaj simbol grada „vrati u život“ i svakodnevicu. Tako sada ovaj motiv krasi košulje, haljine, torbe i promoviše kulturu i tradiciju na modnim revijama širom sveta.
    Da se šara pirotskom ćilima odlično uklapa u svakodnevne odevne kombinacije, najbolji su dokaz kreacije Silvane Tošić, kreatorke koja je svojim modelima oduševila Piroćance širom sveta. Kako kaže, oduvek je želela da pravi odeću koja će čuvati tradiciju Pirota. Da nije ostvarila samo svoju, već i želju mnogih sugrađana shvatila je već na prvoj reviji, pre šest godina.
    Prva revija bio je svojevrsni i kulturni i emotivni šok jer je pola publike plakalo, zato što se eto neko setio da ove ćilime iznese iz ormara, škrinja podigne sa poda – kaže Tošićeva.
    Kako kaže, čitavog života želela je da obuče ćilim i nosi šaru, ali nije bilo nikog da tako nešto napravi. Zato se sama latila posla. Njene kreacije sada nose i matičarke i matičari Grada Pirota, kojima je kreirala odela.
    Matičarke su same došle na ideju, kada je trebalo da im se sašije nova službena odeća, tražile su da im ja uradim kombinacije – priča Tošićeva.
    Kako su na njene kreacije reagovali na revijama u Parizu, možete pogledati u emisiji ""15 minuta“.
     
"
