file,start,end,predicted
audio/58xZSVbpgkk.wav,11.5,40.1,nekoliko puta smo ponavljali da nio od uvođenja više stranačja nije nikad imao veći broj narodnih poslanika u skupštini srbiji razgovaramo sa slavoljevom vlajkovićem poslanikom socijalistički partije srbije gospodine vlajkoviću kakav je vaš utjescak da li je niž iskoristio to što ili koristi to što ima 12 poslanika nikad više pa niti iskoristio niti će izgledat iskoristit priliku štosida je to pa problem jeu nama mislim da je problem u gradu
audio/58xZSVbpgkk.wav,40.1,62.5,nije problem u narodni poslanicima mi jeste predstavno u svoje stranke mi nismo bjereni kao lica ism ispred svojih stranaka izabrani i znate da e svaka stranka od piliki predloži 2050 kandidata slučaj tako te o da smo svi bili na tim visokim brojevima da smo ušli u parlament ali mislim da je problem narodnih poslanika ovdje u gradu
audio/58xZSVbpgkk.wav,62.5,82.1,znači grad uopštenije organizvan i mi faktički u gradu nemamo i jednu jedinu zajedničku želju koju bi trebali da pokušamo bar da rješimo i da skupštini iskoristimo za bolji niš i za bolje sud ta je problem zbog čega vi nemožete se a jesam
audio/58xZSVbpgkk.wav,82.1,105.7,pa iima ali ja kažem da bi trebao grada kažem is to ja mogu individualno tako se socijalistička partije srvi ima najveći broj poslonika tu ste i zra radovanović ivana dinić pa što se tiče nas kao sociaaliste mislim da to radimo perfektno ja ću vam reći bar one funkcije koje ima napijer zoraa 12 direktor knieničkog centra i mislim da posle evao
audio/58xZSVbpgkk.wav,105.7,134.9,ja sam skoro slušao neke podatkee prvi klinički centar znači bolnica zildena skoro 100 godina je prošao 80 godina još u vrijeme kraljevine i evo ovih dana treba da se potpiše ugovor za izgradnju novog kliničkog centra to je zasluga svih nas mišlje o koji smoispred sucilističke partije i od prvog trenutka zai ljudi kokoja su scilistička partija na određenim funkcijama ostavi van bi svi zajedno radim i pokušavamo da taj ideol
audio/58xZSVbpgkk.wav,134.9,161.0,dvaedemo do kraja i mislim da je to najveći uspjehe značito neće dobiti novi klinički centarni beodredni novi sad što jedinstveno da je što szahvaljujućipravo i doktoru radovanoviću na čelu te klinike a i svih nas koji to podržavamo u razgovoru sa našlim milistromdoro klinikcnterje da kažem jedna ustanova ii doktor radovanović načelu teaustanove
audio/58xZSVbpgkk.wav,161.0,185.3,vi ste da nedavno bili i direktor jednog lokalnog javnog produzeća ali ono što vas pitam je prvenstveno šta ste vi uradili ili planirate uradite kao narodni poslanici znači postoje tri poslanika socijalističke partije i srbij zniša tu je još jedan  kažem iz koalicije okupljena o ko vas govorimoo gospodinu miloradu stošiću iz partpenzionera srbije i
audio/58xZSVbpgkk.wav,185.3,214.2,da li tu postoji neki dogovor da li se vi dogovarate sednete jednom nedaljnom mesečno vas to je setvoro petore ili koliko vas i da ppričate šta bi mogli odraditi npr a evoa ne svatko mi se m svaku dana viđo da će eva potrebne za neke posebne sastanke sedima falički jedan do drugog tako da smošto kažu nonstov zajednošto se tiče niša još jedan cilj koji imamo zajedno a to je  željeznički čvor
audio/58xZSVbpgkk.wav,214.2,243.5,znači to pokušavamo ja sam javno tamo diskutovo oizmještanju pruge tako da smatram da je to jedan nai po meni to je čak i najozbiljniji problem grada niše imam obećanje od ministra iz tih nekoliko razgovora i kojiko je to moguće projekt dokumentacije se trenutno radi i mislim da će biti to jese gotovo projekt na dokumentaciji znači poči će se onda i sa obivoznicom
audio/58xZSVbpgkk.wav,243.5,273.2,ov željezniko čvoa oko višetostda u kraju i programski ono što smo kao partija u predlizbenoj kampanji pričali v pokušavamo i visrećimo otprilik je sve to što ste zaprovjerali i da je završi što se dešava sa poslaničkom kancelarijom unišu je otvorena poslanička kancelarija međutim upravo narodni posloanik milona stoši se žalio da ta kancelarija ne funkciond poslanici od dobro ovog prvog
audio/58xZSVbpgkk.wav,273.2,301.4,ne bi on je to čvak lično radio kao nardiposlanik obezbedio kadcelario mi svijamo ja imam toliko kad celarije kao predsjednik sucililističke partije da je stvarno nemam potrebe da idem ovo svako tko hoće vi znate da e s cailjlstička partija radi svakog dana tako da apista gdje mogu ag mene građani mogu nanađio sucilističkoj partiji  dolaze građan
audio/58xZSVbpgkk.wav,301.4,330.9,dolaze ali ne toliko obično su to neki sporovi koji ne mogu darešu gradu mnišu a i treba neka pomoć kada u pititi neko ministarstvo i onda pokušalno  i to reši ja se čak nudio pojedinim firmama pojedinim građenima kada tako pričaju kad sdimo na obaveznu  da pomognem da li su to puterske firme dto je elektronska mašnjinska da li je to zdravstvo no gdio sam da te njihove probleme javno iznesen uskupštinu
audio/58xZSVbpgkk.wav,330.9,360.2,ako herijte nitko nije teda doć ili neki ljudi od mojih kolega i maju neke jače vezi il i ne znam volje je to prijateljske veze ali jeto meni nitko nije dao ni jedno pismo vidim čak neke ljude neke akcije koje smo mi nekada vodili kao socialisčka partije sa to neke druge partijeae ne vi d ta nije korektno ljudima koji nisu pristuni ali već nekoliko teme bio u skupštini znači niške teme mao ljudima oomdeama
audio/58xZSVbpgkk.wav,360.2,387.3,pa dobro mislim damožemo kad svi sedimo sad ja sam sedimovdje mislim je bid ali  šta se dešava prema podacima s otvoreni parlament vi ste samo jednom od početka mandata izašli za govornicu s kupštini srbije pa ja sam jednom izašao i  kad su u pitanju zakoni o železniciada baš uputu kao što sam rekao ono što je interesanto a mislim da
audio/58xZSVbpgkk.wav,387.3,408.3,to jeposle skoro godinu dana znešto je bilo 9. maja ove godine pa dobro ja sam negdje tek i setemro dobro postavljio nisam upru i niste bili ndaliko treba malo vreme pa e mislim malo to i poslavnička grupa sljezačke partije ja mogu na svaku temu u principu da diskute a smatram da nisam baš od onih plaćičnih srba koji smatraju da sve zna
audio/58xZSVbpgkk.wav,408.3,438.0,da se razumiju u pravosuđi da se razujem u zdravstvo da se razumjem i  jasam grizevinac po struci i smatram ono što je vezano za graževinu da tu trebam svoj doprinos najmujedan jočevu ali vidim pošto novinarii pojavljuje se to već i nekoliko puta u u nekim novinama te ne znam ova voliko diskuto t a po meni tone ikakve veze znate šta kad je neka opozicija do jučer bio no vlast i sad sve kritikuje sve kritikuje ja
audio/58xZSVbpgkk.wav,438.0,465.0,razumjem ako ima čovjek da ponudi neko bolje rješenje vi znate ta u ministarstvu il neko vlada da neko rješenje i u prilogu tog rješenja koji ponudite nešto bolje znači mislim da s to bila najbolja ai nisam smatrao da su najbolja čak možda neka nisu ni po meni ni dobra ili su prebrzaizan ali pa dobro ja  govorim svoje ime čak mislim da su neki prebrza
audio/58xZSVbpgkk.wav,465.0,494.2,mislim da u kratkom periodu nekoliko godina koliko ja pratim taj parlament rjize nisam pošov profesionalna obveze ne dozvoljavaju bać malo da gledamte reviziju ali evo sada slušam uživo sam smatram da neki zakoni prebrži idu ili po ne znam po jednom od dva puta se pojavljuju u proceduri mislim da evo na putu smo ulaska i tu eu ili riključit ćemo se a mislim da treba neke stvari sačekati pa kad jedno nešto radimo dajde se da ne radimo nešto po stoputa
audio/58xZSVbpgkk.wav,494.2,522.0,nego da ga jedno odradimo lako kako treba kažete da ste previše imali obaveza pisalo se i u medijima je bilo dosta priče o tome da ste imali u jednom trenutku ste bili kako  čak i južne vesu pisale manjeviše rekorder po broju funkcija javnih u istom trenutku ste bili direktor direktor javnog preuzeća ništan pomoćnjek gradonačelnika član upravnog odbora poteke niž
audio/58xZSVbpgkk.wav,522.0,551.4,odbornik u skupštini grada narodni poslavnik pa ja ću reći ova liste je predsjednik radničkog predjednika radskog odbora socijalističke partije srbije a nea znam ja koliko znam vi možete budite predsjednik radničkog to nije politička funkcija to grupe grai govorimo o vremenu koje je potrebno da bi se neka funkcijo obavili pa dobro ja sam vido ja sam u jednom trenutku znači imao jednu profesionalnu funkciju to je niša stang bio i ovo sve je drugo taj humanitarni dobrovol ni radi
audio/58xZSVbpgkk.wav,551.4,574.8,nikako drugačije ne bi moglu da sati ako gledamo ako gledamo izugla plaćanja ali govorimo o tome koliko je vremena potrebno dobro ja ostavljam da je potrebno vrijeme i hoćete uvodjeti narodni poslanik ili jasamsjakasam to postaoo ja sam se odreko od svih tih funkcija z direktora i ovo što kažeti japotekaj i odbornik i svega na kraju i to gradičko znači
audio/58xZSVbpgkk.wav,574.8,603.6,aa kako je vremene izlazilo jedne su funkcije dolazili ja sam su driica drugih ja su jasam čovjek koji je najviše ostaki da tako i da može i tako da se to posmatra kruži glasima iše niste predsjednik gradsko oda spsapa da vam je izglasano eea to nije točno mislim ja ne znam iste ozbiljna ja baš smatraju južnim vestit koji iznutno ozbiljno informino  koji će
audio/58xZSVbpgkk.wav,603.6,630.8,znači ja sam čovjek koji je izabran na konferenciji su silstičke partije i ja sam predsjednik gradskog odboraa ima nekih bilo je nekih nezadovoljnih verojatno smatraju da  am možada bi neko drugi to trebao da radi ali predsjednici silističke partije se vjeruje samo na izboj konferencije e to nisam dao ostavk i ne vjerujem da će dati dobro čovjek koji je nasledio vas na funkciji predsjednika pudborskog kluba radničkih
audio/58xZSVbpgkk.wav,630.8,659.7,darko bulatović funkcioniran suopske napradne stranke i predsjednik niške opštine crveni krst sedoje na tomestu kada se govorilo o tome koliko ima posla na tome sto on kaže radio i u vojsci radio je ne znam šta sve u životu i kaže nikad ništa mu teže nije palo i kaže na možda spavo noću jel ste vi mogli a spavate ja sam spalao vjerojatno nemalo radio u životu pa prvi put m jišu malo veći problem ja sam tako mirnu i lepo spao
audio/58xZSVbpgkk.wav,659.7,687.6,i da on kažem nešto ai zadovoljstvi je bilo raditi u tom raničkom proštvolji sport nekad sam ih odati u tom raničkom drugo što kad ju ide uspjeh sza uspjehm dai ne znam dati človjek nešto lapše toga zat u raditi svoj posao da e bio uspeo ešeznači za godine i pol dana koliko sam ja bio dvije godine iz srpske ligij kada nitko nije tu dom raničkom ida uje savratili zatvorena znači srpska liga prva liga superliga
audio/58xZSVbpgkk.wav,687.6,717.3,i da nije to mješetarenje o klastično niško počelo a ja nekima više smetam i kad jei to je klasika zovij niš kada počnete da idete najviše a onda svi na vas jer jaevo vi ste tad sad saznali za neke funkcije ja te funkcije pojedinacam o po čet 5 godina ali kad sam počao ja mislim da mi ranički najviše izbacio da invasto kažu nekih svojih neprijatelja koji a ji ne poznajem dobro što je mislite  predalo to pošto je ovo pa ja imam lično zadovoljstva kao onišlije
audio/58xZSVbpgkk.wav,717.3,743.8,čovjek koji je rođinu nišu čovjek koji vodi sport ja sam lično bio predovoljan i presrećen d učestvo mu jedno velikom preektu a to je radničkim ričim mislim da je to najveći brend uniš a to što 90 ništi ja ne shvati to a evo kada smo najavili aše goslovanje prvo pitanje koje je stiglo bilo je u vezi sa radničkim znači ljudi su pitali i šta se dešava i pitanje se odnosilo jedno na stadio
audio/58xZSVbpgkk.wav,743.8,773.1,izgradnje stadi započeta je kada si bilo na čelu radničko kada su postavljeni neki rokovi ti rokovi nisu ispoštovaniji imamo još vrlo malo vremena do kraja emisije šta se dešava sa time možee pa ja nisam u tokao to je gradski stadijo znači to je investicije koji vodi grad i republika do sada ona južna severna istoća tribina to je bilo pola pola stadion taj ideo što evo ni dan danas nije završena nije trebao da bude do decembra prošle godine
audio/58xZSVbpgkk.wav,773.1,796.5,iz kojih razloga ja to nisam mogao da shvatim ugovor je validan jednostavno izvođač koji to nije završio određeno trebao je grado pupea postupak dana te re izvođači ili da nađe neku drug izvođači izgvede i da završi mi smo zbog tog stadiona i nezavršetka i reflektora faktički sve međunarodne utakme servifistacije
audio/58xZSVbpgkk.wav,796.5,826.2,izgubili koje su trebali sigure ovje ja sam tada bio kao prestanik hraničkoj bio sam u funcuskom savezu jer to ide po ključu lansta nekog izvršnoga odbora znači ja sam tamo dogovorio sa tim ljudima i ja kašam najveći rzoj u vezi dčko sam imao faktički od funcurskog saveza i srbije i oni su sve utaknici ta irska školska mislim da je bila i ove sad sledeće mogli su se sigurati da ne pričamo o ominkomišje smo bili faktički ilii i sve to
audio/58xZSVbpgkk.wav,826.2,837.4,hvala vam što ste odvojili vreme da budite naš gost hvalv nažalost bio jeslavulju vlejković predsjednik gradskog odbora socijalistički partiji srbiji i narodnih poslovnik maime predreg blagojeviću
audio/YKAqDCyINz4.wav,11.3,36.7,u posljednji godinu dana točni je od manjskih izbora srbije je dobila nekoliko novih stranaka neki se zovu neke su nastale izlaskom iz postojećih stranaka neke su formirane kao nove stranke razgovaramo sa predsjednikom jedne stranke čije n u nasluvu veliko zoranživković predsjednik nove stranke trebali srbije nova stranka ali bez obzira da li je narmalo ili veliko
audio/YKAqDCyINz4.wav,36.7,66.6,prvo je nismo ne samo jedna ovo stranke od protevlih izbora informirana i to je nova stranka znači postoji puno priča o nekim drugim strankama ali ni jedno nije registrarana niti se vide neke aktivnosti na tu temu u srbiji su potrebne nove stranke sigurno zato što su postajeće stranke mahom već potrošile svoju energiju svuu kredibilnost ako su neka imale a ima puno potrošenih ideja koje su te stranke trošile
audio/YKAqDCyINz4.wav,66.6,96.6,nemilo sam ovog proteklih 2adstih godina tako da po svim istraživanjima a i u razgovor sa ljudima vide ostajimo taj do po svim istraživanjima koje su vođena u zadnjih 7 8 mjeseci da n ova stranka je potrebno ismo informirali novu stranku kao stranku cera kao stranku koja se zalaže za slobodno tržište za zaštitu ljudskih i manjiskih prava za decentralizaciju srbije ali bez regiona
audio/YKAqDCyINz4.wav,96.6,126.6,za sve ono što je što obiležala moderan život u 21 veku u jednom uređenom društvu ali je sigurno da a je srbi potrebno bar još nekoliko novih stranaka koje naravno neće moći da se tako zove zovu sigurno da je srbi potrebna jedna moderna stranka levice jer ovo što imamo danas na političkoj si srbiji što se predstavlja levicom to apsolutno ne može d opravda jtaj tu svoju poziciju a da ne govorim o destici levice ovdje
audio/YKAqDCyINz4.wav,126.6,153.4,shlona korupciji lažima i demagogiji a desnica je praktično ona kvazipatriotska šovinistička desnica sa početkam 90tih i ja sam sigurna da ću se u srbiji pojaviti neke nove stranke u narednih godinu do 2i dana i ja priželjkujem da se one pojave mislim da će to dati jednu novu energiju o osrpskoj političkoj scani
audio/YKAqDCyINz4.wav,153.4,182.3,da li je moguće da poema novih stranaka dovede do stabilnosti ili baš suprotno možda  da unese nestabilnost nego ne može da unese nikakvu nestabilnost  nove stranke se ako se stvarno prave n ove stranke nisu odcjepljeni dlovi već bolesnog nekiva neke stare stranke nego što stvaro nove stranke koje kao što si slučaj sa novom stranku čiji se ja predsjedni gdje preko 70 ljudi su prvi put u politici
audio/YKAqDCyINz4.wav,182.3,209.2,znači nisu bili ni članovi ni jedne stranke do sada u predsjedništvu stranke je od 10pe ljudi nikad nisu bili članovi ni jedne stranke dvoje su bili članovi ali samo članovi nekih stranaka i nas troje stariji mi smo loši primjeri bili i funkcioneri nekih stranaka tu mislim na vesno rakić oli koj je predsjednik savjeta stranke
